Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
9,188.5638298,0,0.0,199,7750.537279000001,0.007911051,0.021772307999999997,3.012181822,0.0,Nov,3,2,4,13,Returning_Visitor,0,1
0,0.0,0,0.0,8,166.0,0.0625,0.11666666699999999,0.0,0.0,Nov,3,2,6,3,Returning_Visitor,0,0
1,0.0,0,0.0,21,658.25,0.035497835,0.057482992999999996,0.0,0.0,Nov,3,2,5,13,Returning_Visitor,0,0
8,974.0,0,0.0,32,1003.416667,0.005263158,0.010526316,16.61144026,0.0,Dec,2,10,7,2,New_Visitor,1,1
8,289.0,0,0.0,139,5107.034928,0.01544437,0.044005025999999996,8.304903935,0.0,Aug,2,2,2,1,Returning_Visitor,0,0
0,0.0,0,0.0,16,351.75,0.008888889,0.023492062999999997,0.0,0.0,May,3,2,7,4,Returning_Visitor,0,0
0,0.0,0,0.0,36,925.8333332999998,0.041666667000000004,0.071296296,0.0,0.8,May,2,2,6,13,Returning_Visitor,0,0
1,11.0,0,0.0,6,43.7,0.0,0.057142857000000005,0.0,0.0,Oct,2,2,1,2,Returning_Visitor,0,0
0,0.0,0,0.0,3,0.0,0.2,0.2,0.0,0.0,Jul,1,2,8,1,Returning_Visitor,0,0
4,46.4,0,0.0,5,61.4,0.0,0.014285714,0.0,0.0,Oct,2,2,4,4,New_Visitor,0,0
0,0.0,0,0.0,8,123.0,0.025,0.029166667,0.0,0.0,Nov,3,2,3,11,Returning_Visitor,1,0
1,3.0,14,1165.166667,81,2820.952419,0.008897485,0.029431012000000003,0.0,0.0,Mar,2,2,3,2,Returning_Visitor,0,0
0,0.0,0,0.0,37,582.2666667000001,0.0,0.021959459,0.0,0.0,Nov,2,2,5,2,Returning_Visitor,0,0
0,0.0,0,0.0,88,5093.3,0.0049242420000000005,0.023393841000000002,0.0,0.0,Nov,2,2,1,2,Returning_Visitor,0,0
0,0.0,0,0.0,3,39.5,0.0,0.033333333,0.0,0.0,Dec,1,1,9,8,New_Visitor,0,0
0,0.0,0,0.0,3,65.0,0.1,0.111111111,0.0,0.0,May,3,2,1,3,Returning_Visitor,0,0
2,51.0,0,0.0,23,637.5,0.0,0.009090909,0.0,0.0,May,2,2,3,13,Returning_Visitor,0,0
0,0.0,0,0.0,11,1289.333333,0.0,0.022222222000000003,0.0,0.0,Dec,1,1,6,2,New_Visitor,0,0
0,0.0,0,0.0,57,2163.96,0.039285714,0.06131377599999999,0.0,0.0,Jul,3,2,6,3,Returning_Visitor,0,0
0,0.0,0,0.0,19,866.3333332999998,0.0,0.025,14.58941181,0.0,Dec,2,4,3,2,Returning_Visitor,1,0
0,0.0,2,6.0,50,3831.1,0.0,0.017307692,0.0,0.0,Nov,2,2,1,10,Returning_Visitor,0,0
10,464.15,4,160.5,26,1975.6333329999998,0.017647059,0.029411765,0.0,0.2,May,2,2,1,3,Returning_Visitor,0,0
0,0.0,0,0.0,1,70.5,0.0,0.1,0.0,0.0,Nov,2,10,1,3,Returning_Visitor,0,0
0,0.0,0,0.0,26,470.8166666999999,0.005128205,0.042307692,0.0,0.0,Nov,3,2,4,11,Returning_Visitor,1,0
4,76.0,0,0.0,28,866.0,0.0,0.02183908,0.0,0.0,Mar,2,2,4,1,Returning_Visitor,0,0
9,174.475,0,0.0,43,895.9731685,0.0,0.009929078000000001,30.66624113,0.0,May,1,2,6,2,Returning_Visitor,0,1
0,0.0,0,0.0,4,93.5,0.0,0.05,0.0,0.0,May,2,2,1,2,Returning_Visitor,1,0
1,49.0,0,0.0,4,2210.5,0.0,0.013333333000000001,0.0,0.0,May,1,1,1,3,Returning_Visitor,1,0
5,75.0,0,0.0,31,1066.0,0.0,0.014285714,0.0,0.0,May,2,2,1,6,Returning_Visitor,0,0
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,Mar,2,2,7,11,Returning_Visitor,0,0
0,0.0,0,0.0,8,64.6,0.05,0.075,0.0,0.0,Jul,2,2,2,13,Returning_Visitor,0,0
6,301.2,0,0.0,87,1836.983333,0.009782609,0.026449275,0.0,0.0,Sep,2,2,6,3,Returning_Visitor,0,0
2,87.83333333,1,113.0,67,4868.0,0.0,0.003174603,48.45370723,0.0,Dec,2,2,5,2,Returning_Visitor,0,1
7,68.4,0,0.0,145,5175.3773710000005,0.002666667,0.008978355,2.042762326,0.0,Aug,2,2,1,1,Returning_Visitor,0,1
5,543.0,6,320.5,20,2039.0,0.0,0.016296296000000002,25.38925926,0.0,May,2,2,1,2,Returning_Visitor,0,1
7,78.3,5,120.0,87,1363.263492,0.004301075,0.008090118,30.80927957,0.6,May,2,2,3,2,Returning_Visitor,0,1
0,0.0,0,0.0,48,3025.333333,0.004166667,0.009375,0.0,0.0,Aug,1,1,1,20,Returning_Visitor,0,0
0,0.0,0,0.0,22,1390.083333,0.0,0.004761905,0.0,0.0,Nov,2,2,4,8,New_Visitor,1,0
5,166.33333330000002,1,0.0,38,1869.4511899999998,0.004545455,0.010037879,0.0,0.0,Dec,2,4,8,2,New_Visitor,0,1
8,139.68181819999998,8,353.3333333,45,2003.415152,0.007142857,0.00755102,5.576720936,0.0,Mar,2,2,4,2,Returning_Visitor,0,1
13,428.0222222,2,11.0,133,10338.67177,0.00027604,0.017657266,22.97507587,0.0,June,2,2,1,4,Returning_Visitor,0,0
2,43.0,0,0.0,17,434.0,0.0,0.010526316,0.0,0.0,May,2,2,6,1,Returning_Visitor,0,0
0,0.0,0,0.0,17,1293.083333,0.0,0.013333333000000001,0.0,0.0,Dec,2,5,7,2,New_Visitor,0,0
0,0.0,0,0.0,22,762.547619,0.0,0.017391304,0.0,0.0,Mar,2,2,1,3,Returning_Visitor,1,0
1,54.4,0,0.0,6,270.9,0.0,0.014285714,0.0,0.0,Oct,1,1,7,3,New_Visitor,0,0
0,0.0,0,0.0,2,31.0,0.0,0.025,0.0,0.0,Mar,3,2,3,3,Returning_Visitor,0,0
0,0.0,0,0.0,4,39.25,0.0,0.05,0.0,0.0,Nov,4,2,1,1,Returning_Visitor,0,0
0,0.0,0,0.0,19,751.3333332999999,0.0,0.002777778,13.62630613,0.0,Mar,2,2,1,2,Returning_Visitor,1,1
4,15.5,0,0.0,15,312.7,0.01,0.045,0.0,0.8,May,4,1,3,2,Returning_Visitor,0,0
1,9.0,0,0.0,19,734.5833332999999,0.016666667,0.04444444400000001,0.0,0.0,Mar,2,10,1,1,Returning_Visitor,0,0
0,0.0,1,98.66666667,94,3085.25,0.0,0.00609319,0.0,0.0,Nov,2,2,2,3,Returning_Visitor,0,0
2,62.5,0,0.0,17,775.3333332999999,0.0,0.045098039000000006,0.0,0.0,Nov,2,2,3,1,Returning_Visitor,0,1
3,80.0,0,0.0,32,931.5,0.008823529,0.023529412000000003,51.11722549,0.0,May,2,2,1,1,Returning_Visitor,0,0
1,23.0,2,272.5,30,974.2698412999998,0.006451613,0.007885305,11.47812903,0.0,May,2,2,4,1,Returning_Visitor,1,1
